country,year,co2_kt,co2_per_gdp,cereal_yield,fdi_perc_gdp,elec_access_perc,ch4_ttl,n2o_ttl,urb_pop_growth_perc,pop_growth_perc,gdp,gni_per_cap,pop,urb_pop,agr_land,co2_per_cap
IRQ,2011,113039.8,0.27220843903774533,1798.5,1.1208633976416693,98.0,57147.35987,4947.907617,3.737066187049348,3.4985800882497,185749664444.44446,4710.0,32378061,22427635,19.685945846380548,3.4912467426631877
IRQ,2012,129004.3,0.2667806585898591,2318.9,1.5596152726788697,99.3,65015.96498,5200.220438,4.724947627518159,4.4884639176917,218002481737.69147,5940.0,33864447,23512763,19.72854116780254,3.809431761871086
IRQ,2013,139103.6,0.2700482776278458,2214.8,-0.9952792102630679,99.0236663818359,67234.6301,5215.721658,4.899906029275677,4.6654185971967,234637675128.64493,6590.0,35481800,24693559,20.417365385324143,3.920421173672136
IRQ,2014,134045.9,0.28048017400444436,2048.1,-4.455211245329563,99.2385101318359,70951.44521,4702.260279,3.736213568265211,3.50227675046767,228415656174.95712,6320.0,36746488,25633615,21.350845833486897,3.6478560889954976
IRQ,2015,133169.7,0.3834161030578163,2693.5,-4.541592355731865,99.4483795166016,79617.36283,3771.3541,2.9483676203063367,2.71497647013538,166774104911.4796,5460.0,37757813,26400640,21.307079939556996,3.5269442115198784
IRQ,2016,143281.1,0.4150822521251889,3075.3,-3.754985923089591,99.6540985107422,88097.35634,4129.297218,2.7065200128165356,2.45940250005547,166602488747.88495,5050.0,38697943,27124936,21.307079939556996,3.7025508048321845
IRQ,2017,156456.4,0.39579697162553307,2747.8,-2.6879942835723085,99.8843765258789,89081.20984,4711.387136,2.61985281061518,2.35769232939234,187217660050.6757,4400.0,39621162,27844960,21.307079939556996,3.9488089723365505
IRQ,2018,168154.3,0.4047429728359883,2675.8,-2.148548348079131,99.9,90103.32835,4724.945854,2.694646717922165,2.41756068668666,227367469034.03085,4780.0,40590700,28605484,21.307079939556996,4.142680466215167
IRQ,2019,180687.6,0.4049193956970362,2586.4,-1.3164061670933904,99.9910278320313,93815.34436,5557.485572,2.6588587670681316,2.36838831392184,233636097800.33844,5470.0,41563520,29376265,21.307079939556996,4.347264139322175
LBY,2002,45596.1,0.41265340554639046,632.3,0.7079424880824235,95.2321166992188,50631.85846,1300.252514,2.5891162215940815,2.4232450219976,20481889763.779526,5290.0,5405326,4142047,8.780704047648817,8.435402416061493
LBY,2003,48931.5,0.38425403926110524,620.0,0.5444378346222487,93.5176696777344,55947.50744,1328.69998,2.6898776483127556,2.50863381723218,26265625000.0,5240.0,5542641,4254975,8.780704047648817,8.828192192133677
LBY,2004,48469.0,0.35484005044584543,620.0,1.0778234515432314,91.8086853027344,59542.85891,1442.826447,2.777580379589122,2.58107591705621,33122307692.30769,5190.0,5687563,4374817,8.743762574309194,8.521927581285693
LBY,2005,53004.1,0.33631939989944787,622.8,2.192894541149527,90.1121826171875,64027.45039,1529.436513,2.819492847715957,2.61040132087158,47334697611.854836,6780.0,5837986,4499920,8.743762574309194,9.07917559240464
LBY,2006,52930.4,0.3059130114299993,622.6,3.4346048784654597,88.434928894043,66161.49065,1607.358972,2.5167088391849646,2.29252154954785,60094248771.991806,8550.0,5973369,4614607,8.743762574309194,8.861063162178663
LBY,2007,49395.5,0.2616687864728706,623.0,6.89224493698444,86.7785110473633,65423.42592,1648.364031,2.2893696353951563,2.05147873321277,68032985520.267586,10510.0,6097177,4721471,8.743762574309194,8.101372159607635
LBY,2008,53275.9,0.2773633408923882,621.7,4.7413965352719964,85.1393280029297,65940.38118,1694.360489,2.380374404206521,2.12887841520837,86710739534.55255,12040.0,6228370,4835208,8.743762574309194,8.55374680694949
LBY,2009,56404.0,0.30520830996664533,634.1,2.254617587668457,83.5135269165039,59957.98645,1775.122348,2.3580997798350776,2.09437470204341,60808538330.34174,11150.0,6360191,4950582,8.743762574309194,8.868287131628595
LBY,2010,59559.6,0.30321315323703973,669.9,2.366650372874135,81.8972702026367,63107.24671,1864.176607,2.326864754299216,2.05103928741641,75380800664.41982,11560.0,6491988,5067126,8.724439342100776,9.174323797271345
LBY,2011,41506.4,0.41683165821182955,664.5,0.0,80.2867279052734,24771.85371,1770.556881,-4.505691471668584,-4.79355371289299,48169243831.914116,6230.0,6188132,4843884,8.724439342100776,6.707419945146613
LBY,2012,58315.1,0.33799053228291204,679.3,1.5398585968386393,78.6780548095703,62052.2882,1863.742556,-4.980317036718544,-5.28007770057696,92540964665.55785,14020.0,5869870,4608552,8.72671266353706,9.934649319320531
LBY,2013,59767.3,0.41372987247229187,663.8,0.9316384707959157,77.0674057006836,43830.0252,1892.71983,2.256390947143,1.94607768885519,75351117628.30797,12590.0,5985221,4713721,8.72671266353706,9.98581338934686
LBY,2014,59289.1,0.4672406926584195,666.8,0.0,75.4517288208008,28337.38969,1824.092904,2.183603882131307,1.86288826279856,57372352562.48881,9620.0,6097764,4817782,8.723871011741705,9.723088660039975
LBY,2015,51331.2,0.3740267657919705,665.3,0.0,73.8310775756836,26495.29419,1718.094179,1.8672056721208374,1.53739411600028,48717506272.69811,8830.0,6192235,4908585,8.723871011741705,8.28960787179427
LBY,2016,48694.8,0.35439469471926943,669.9,0.0,72.2062683105469,25728.14786,1777.961762,1.7823802134045066,1.4423513120791,49912085228.34867,8100.0,6282196,4996859,8.723871011741705,7.751238579630435
LBY,2017,52095.1,0.33732426670579024,676.0,0.0,70.5781478881836,42299.74653,1845.659746,1.8652385030804113,1.5175888785251,67157451660.27272,10310.0,6378261,5090937,8.723871011741705,8.167602423293747
LBY,2018,54100.1,0.31691565290828255,688.7,0.0,67.0,49075.34271,1792.395929,1.904865083062526,1.54843762620192,76686048499.35266,11630.0,6477793,5188842,8.723871011741705,8.351625314362469
LBY,2019,54692.7,0.35442070107153123,676.3,0.0,68.4728927612305,53112.78638,1788.117113,1.762139684648727,1.39951441440416,69254143968.33977,10680.0,6569088,5281087,8.723871011741705,8.325767595136494
MYS,2000,124355.9,0.4156681070310265,3039.5,4.038428623937644,98.588134765625,26237.91052,6506.392067,4.557395679875869,2.54459366705921,93789736842.10527,3490.0,22945150,14220716,21.11915994521382,5.419703074505941
MYS,2001,129458.7,0.4210108205591814,3108.1,0.5970293182520802,98.6218643188477,26580.92846,6570.592697,4.083395446537519,2.57014353027485,92783947368.42105,3570.0,23542517,14813423,21.1444224623345,5.498931996098802
MYS,2002,136377.9,0.4143679205344188,3232.1,3.1661243225047118,98.6470489501953,27452.21639,7203.168127,3.989814865311711,2.51634742159783,100845526315.78947,3800.0,24142445,15416400,21.41987520925278,5.648885189548945
MYS,2003,144010.0,0.40560992431329745,3347.2,2.9209420945676468,98.6706924438477,28534.30932,7987.644957,3.879238117660455,2.44260643657749,110202368421.05264,4160.0,24739411,16026190,21.65953431745549,5.821076338478713
MYS,2004,157850.0,0.40546381886493166,3314.9,3.507872620494129,98.6997985839844,30010.79475,8630.119587,3.7730778753259044,2.3720084635771,124749473684.21053,4710.0,25333247,16642423,21.706589560188707,6.230942287027005
MYS,2005,166973.4,0.3948065631018917,3407.0,2.734387108724705,98.7413864135742,30841.52018,8967.930417,3.664056683418367,2.30336382151543,143534418452.15424,5230.0,25923536,17263520,21.71483792421245,6.440996320872276
MYS,2006,173632.9,0.37719815996455897,3383.6,4.727164794647913,98.8022232055664,31162.45375,8913.187899,3.5609791408524467,2.23485955352487,162692260155.07013,5770.0,26509413,17889347,21.534621823162382,6.549858346542792
MYS,2007,189464.8,0.37701328188734845,3540.6,4.68684630405815,98.883903503418,32225.64981,9284.89658,3.4673046654639412,2.17608980403121,193549547954.75284,6540.0,27092604,18520504,21.632019479531273,6.993229591367445
MYS,2008,202458.6,0.37706899097999497,3599.2,3.280819819087842,98.9828109741211,33256.84088,9852.656262,3.3456074016937496,2.08818532017883,230811591306.52036,7400.0,27664296,19150609,21.76350631562928,7.318407813450232
MYS,2009,181472.7,0.3409922943119603,3734.7,0.05669231463943876,99.3,32956.71694,8458.817144,3.1993272243952027,1.97892341382596,202257458160.8495,7470.0,28217204,19773206,21.97534621823162,6.43127859159965
MYS,2010,199867.0,0.34544698887392145,3659.9,4.268646525527924,99.4753112792969,33243.69051,9908.473625,2.9456413673711506,1.75828740323151,255017645207.1796,8110.0,28717731,20364317,22.4906406939583,6.959707227566133
